命题区,城市,学校,录取类别,文化课分数线,文化课满分,体育满分,总分线（含体育）,总分满分,得分率,数据性质,来源,口径说明
全省统一命题,佳木斯,佳木斯二中,二次择优,525.5,660,30,555.5,690,80.51%,官方公布,jmszkb.com/list.asp?articleid=1981 佳木斯市招考办《2004年初中升高中录取工作于7月23日结束》2004-07-27,出现 .5 半分，体育分未进位取整；本区各校分数线之间可直接比较（同一张卷子）
全省统一命题,佳木斯,佳木斯二中,一次配额,505,660,30,535,690,77.54%,官方公布,jmszkb.com/list.asp?articleid=1981 佳木斯市招考办《2004年初中升高中录取工作于7月23日结束》2004-07-27,出现 .5 半分，体育分未进位取整；本区各校分数线之间可直接比较（同一张卷子）
全省统一命题,佳木斯,佳木斯二中,二次配额,500,660,30,530,690,76.81%,官方公布,jmszkb.com/list.asp?articleid=1981 佳木斯市招考办《2004年初中升高中录取工作于7月23日结束》2004-07-27,出现 .5 半分，体育分未进位取整；本区各校分数线之间可直接比较（同一张卷子）
全省统一命题,佳木斯,佳木斯二中,自费,400.5,660,30,430.5,690,62.39%,官方公布,jmszkb.com/list.asp?articleid=1981 佳木斯市招考办《2004年初中升高中录取工作于7月23日结束》2004-07-27,出现 .5 半分，体育分未进位取整；本区各校分数线之间可直接比较（同一张卷子）
全省统一命题,佳木斯,佳木斯十一中,统招,487.5,660,30,517.5,690,75.00%,官方公布,jmszkb.com/list.asp?articleid=1981 佳木斯市招考办《2004年初中升高中录取工作于7月23日结束》2004-07-27,出现 .5 半分，体育分未进位取整；本区各校分数线之间可直接比较（同一张卷子）
全省统一命题,佳木斯,佳木斯十一中,自费,321.5,660,30,351.5,690,50.94%,官方公布,jmszkb.com/list.asp?articleid=1981 佳木斯市招考办《2004年初中升高中录取工作于7月23日结束》2004-07-27,出现 .5 半分，体育分未进位取整；本区各校分数线之间可直接比较（同一张卷子）
全省统一命题,绥化,绥化一中,统招,541,660,30,571,690,82.75%,公开报道,content/2004/2004年-2012年绥化一中绥化二中绥化七中高中录取分数线.csv（绥化当地公开报道）,本区各校分数线之间可直接比较（同一张卷子）
全省统一命题,绥化,绥化二中、绥化七中,统招,504,660,30,534,690,77.39%,公开报道,content/2004/2004年-2012年绥化一中绥化二中绥化七中高中录取分数线.csv（绥化当地公开报道）,本区各校分数线之间可直接比较（同一张卷子）
全省统一命题,大庆（个人对照）,林英魁 2004 年中考实际成绩,—,618,660,30,648,690,93.91%,本人成绩,content/2004/2004年大庆中考录取总表.csv：648 分在大庆市区总表上并列第 11 名（本人未列入该表）,考的是全省统一命题卷；本区各校分数线之间可直接比较（同一张卷子）
全省统一命题,齐齐哈尔,（各重点高中）,统招,,660,30,,690,,未获取,在本地存档与已收集的公开材料中未找到 2004 年该市的中考录取分数线,留空以标明数据缺口，不做估计
全省统一命题,鸡西,（各重点高中）,统招,,660,30,,690,,未获取,在本地存档与已收集的公开材料中未找到 2004 年该市的中考录取分数线,留空以标明数据缺口，不做估计
全省统一命题,鹤岗,（各重点高中）,统招,,660,30,,690,,未获取,在本地存档与已收集的公开材料中未找到 2004 年该市的中考录取分数线,留空以标明数据缺口，不做估计
命题权佐证,哈尔滨,—,—,,560,30,,590,,制度依据,hlje.net/e/action/ShowInfo.php?classid=230&id=17183 黑龙江日报《中考命题预备人员开始申报》2005-03-14,「2002 年首次面向哈尔滨市市区初中学校公开选聘中考各学科命题预备人员 319 人……三年来，每年各学科中考命题员均从此人才库中随机确定」——哈尔滨自 2002 年起自行组织中考命题
命题权佐证,全省（哈尔滨以外）,—,—,,660,30,,690,,制度依据,hlje.net/e/action/ShowInfo.php?classid=230&id=17599 生活报《分数不作为惟一的录取标准》2005-04-18,「今年我省课改实验区初中毕业生的学业考试将仍由省里统一命题。今后，课改实验区命题工作由各市(地)企负责」（2005-04-18）——2005 年时省统一命题仍在，下放各市是将来时
