分数,本段人数,累计人数
508,330,32050
507,328,32378
506,314,32692
505,274,32966
504,303,33269
503,326,33595
502,318,33913
501,305,34218
500,297,34515
499,318,34833
498,373,35206
497,308,35514
496,307,35821
495,284,36105
494,327,36432
493,278,36710
492,348,37058
491,332,37390
490,314,37704
489,351,38055
488,352,38407
487,327,38734
486,338,39072
485,329,39401
484,349,39750
483,353,40103
482,389,40492
481,347,40839
480,378,41217
479,352,41569
478,344,41913
477,353,42266
476,328,42594
475,343,42937
474,356,43293
473,344,43637
472,349,43986
471,368,44354
470,350,44704
469,350,45054
468,377,45431
467,361,45792
466,349,46141
465,347,46488
464,374,46862
463,345,47207
462,354,47561
461,393,47954
460,366,48320
459,354,48674
458,321,48995
457,388,49383
456,383,49766
455,368,50134
454,360,50494
453,378,50872
452,363,51235
451,377,51612
450,371,51983
449,365,52348
448,378,52726
447,348,53074
446,420,53494
445,381,53875
444,354,54229
443,368,54597
442,386,54983
441,422,55405
440,390,55795
439,387,56182
438,375,56557
437,395,56952
436,395,57347
435,380,57727
434,347,58074
433,388,58462
432,377,58839
431,344,59183
430,363,59546
429,368,59914
428,366,60280
427,368,60648
426,372,61020
425,389,61409
424,410,61819
423,405,62224
422,367,62591
421,366,62957
420,374,63331
419,364,63695
418,407,64102
417,382,64484
416,370,64854
415,393,65247
414,370,65617
413,398,66015
412,391,66406
411,358,66764
410,377,67141
409,376,67517
408,377,67894
407,400,68294
406,336,68630
405,355,68985
404,428,69413
403,391,69804
402,411,70215
401,373,70588
400,396,70984
399,393,71377
398,405,71782
397,389,72171
396,410,72581
395,378,72959
394,396,73355
393,396,73751
392,415,74166
391,381,74547
390,381,74928
389,401,75329
388,394,75723
387,396,76119
386,379,76498
385,415,76913
384,398,77311
383,429,77740
382,368,78108
381,420,78528
380,389,78917
379,418,79335
378,381,79716
377,382,80098
376,387,80485
375,400,80885
374,387,81272
373,398,81670
372,411,82081
371,409,82490
370,387,82877
369,375,83252
368,405,83657
367,401,84058
366,385,84443
365,358,84801
364,391,85192
363,391,85583
362,400,85983
361,370,86353
360,398,86751
359,394,87145
358,417,87562
357,361,87923
356,355,88278
355,379,88657
354,383,89040
353,380,89420
352,347,89767
351,384,90151
350,385,90536
349,411,90947
348,352,91299
347,375,91674
346,391,92065
345,341,92406
344,368,92774
343,390,93164
342,360,93524
341,359,93883
340,368,94251
339,355,94606
338,368,94974
337,349,95323
336,346,95669
335,378,96047
334,349,96396
333,356,96752
332,328,97080
331,326,97406
330,381,97787
329,363,98150
328,334,98484
327,354,98838
326,317,99155
325,340,99495
324,338,99833
323,325,100158
322,337,100495
321,324,100819
320,332,101151
319,302,101453
318,290,101743
317,313,102056
316,282,102338
315,304,102642
314,313,102955
313,300,103255
312,327,103582
311,306,103888
310,308,104196
309,311,104507
308,281,104788
307,295,105083
306,258,105341
305,309,105650
304,298,105948
303,316,106264
302,277,106541
301,253,106794
300,285,107079
299,275,107354
298,261,107615
297,288,107903
296,264,108167
295,275,108442
294,298,108740
293,258,108998
292,245,109243
291,287,109530
290,239,109769
289,217,109986
288,239,110225
287,258,110483
286,230,110713
285,263,110976
284,215,111191
283,261,111452
282,215,111667
281,232,111899
280,192,112091
279,204,112295
278,233,112528
277,210,112738
276,204,112942
275,208,113150
274,203,113353
273,211,113564
272,190,113754
271,184,113938
270,219,114157
269,200,114357
268,191,114548
267,202,114750
266,172,114922
265,180,115102
264,154,115256
263,196,115452
262,190,115642
261,171,115813
260,167,115980
259,167,116147
258,171,116318
257,180,116498
256,164,116662
255,155,116817
254,138,116955
253,160,117115
252,163,117278
251,136,117414
250,136,117550
249,149,117699
248,152,117851
247,125,117976
246,127,118103
245,134,118237
244,132,118369
243,121,118490
242,115,118605
241,130,118735
240,110,118845
239,99,118944
238,105,119049
237,97,119146
236,86,119232
235,104,119336
234,96,119432
233,89,119521
232,93,119614
231,105,119719
230,88,119807
229,89,119896
228,85,119981
227,73,120054
226,91,120145
225,83,120228
224,78,120306
223,71,120377
222,51,120428
221,86,120514
220,75,120589
219,71,120660
218,58,120718
217,46,120764
216,61,120825
215,68,120893
214,43,120936
213,52,120988
212,50,121038
211,39,121077
210,41,121118
209,40,121158
208,51,121209
207,32,121241
206,48,121289
205,44,121333
204,41,121374
203,35,121409
202,36,121445
201,28,121473
200,34,121507
199,36,121543
198,37,121580
197,27,121607
196,24,121631
195,30,121661
194,20,121681
193,35,121716
192,31,121747
191,22,121769
190,19,121788
189,27,121815
188,12,121827
187,26,121853
186,21,121874
185,21,121895
184,22,121917
183,16,121933
182,15,121948
181,19,121967
180,18,121985
179,19,122004
178,18,122022
177,10,122032
176,7,122039
175,19,122058
174,12,122070
173,16,122086
172,16,122102
171,10,122112
170,13,122125
169,14,122139
168,11,122150
167,15,122165
166,6,122171
165,10,122181
164,16,122197
163,15,122212
162,14,122226
161,6,122232
160,7,122239
159,7,122246
158,5,122251
157,6,122257
156,7,122264
155,10,122274
154,5,122279
153,9,122288
152,11,122299
151,4,122303
150,6,122309
149,9,122318
148,5,122323
147,7,122330
146,7,122337
145,4,122341
144,5,122346
143,5,122351
142,5,122356
141,9,122365
140,3,122368
139,1,122369
138,2,122371
137,1,122372
136,2,122374
135,1,122375
134,1,122376
133,2,122378
132,1,122379
131,3,122382
130,1,122383
