分数,本段人数,累积人数
514,289,16452
513,292,16744
512,296,17040
511,299,17339
510,303,17642
509,312,17954
508,315,18269
507,319,18588
506,322,18910
505,326,19236
504,330,19566
503,333,19899
502,336,20235
501,340,20575
500,344,20919
499,348,21267
498,352,21619
497,355,21974
496,359,22333
495,362,22695
494,366,23061
493,369,23430
492,372,23802
491,376,24178
490,379,24557
489,364,24921
488,367,25288
487,370,25658
486,373,26031
485,376,26407
484,379,26786
483,382,27168
482,385,27553
481,388,27941
480,390,28331
479,400,28731
478,400,29131
477,399,29530
476,400,29930
475,400,30330
474,400,30730
473,400,31130
472,399,31529
471,400,31929
470,400,32329
469,419,32748
468,420,33168
467,420,33588
466,419,34007
465,419,34426
464,420,34846
463,420,35266
462,419,35685
461,419,36104
460,420,36524
459,425,36949
458,424,37373
457,425,37798
456,425,38223
455,425,38648
454,424,39072
453,425,39497
452,425,39922
451,424,40346
450,425,40771
449,441,41212
448,442,41654
447,441,42095
446,441,42536
445,442,42978
444,441,43419
443,441,43860
442,441,44301
441,442,44743
440,441,45184
439,434,45618
438,433,46051
437,434,46485
436,433,46918
435,434,47352
434,434,47786
433,433,48219
432,434,48653
431,433,49086
430,434,49520
429,427,49947
428,426,50373
427,427,50800
426,426,51226
425,427,51653
424,427,52080
423,426,52506
422,427,52933
421,426,53359
420,427,53786
419,432,54218
418,433,54651
417,432,55083
416,433,55516
415,432,55948
414,432,56380
413,433,56813
412,432,57245
411,433,57678
410,432,58110
409,424,58534
408,425,58959
407,424,59383
406,425,59808
405,424,60232
404,424,60656
403,425,61081
402,424,61505
401,425,61930
400,424,62354
399,409,62763
398,408,63171
397,409,63580
396,408,63988
395,409,64397
394,409,64806
393,408,65214
392,409,65623
391,408,66031
390,409,66440
389,391,66831
388,390,67221
387,391,67612
386,391,68003
385,391,68394
384,390,68784
383,391,69175
382,391,69566
381,390,69956
380,391,70347
379,388,70735
378,388,71123
377,387,71510
376,388,71898
375,388,72286
374,388,72674
373,388,73062
372,387,73449
371,388,73837
370,388,74225
369,368,74593
368,367,74960
367,368,75328
366,368,75696
365,368,76064
364,367,76431
363,368,76799
362,368,77167
361,367,77534
360,368,77902
359,342,78244
358,341,78585
357,341,78926
356,342,79268
355,342,79610
354,341,79951
353,341,80292
352,342,80634
351,342,80976
350,341,81317
349,321,81638
348,321,81959
347,321,82280
346,321,82601
345,321,82922
344,320,83242
343,321,83563
342,321,83884
341,321,84205
340,321,84526
339,304,84830
338,303,85133
337,304,85437
336,303,85740
335,304,86044
334,304,86348
333,303,86651
332,304,86955
331,303,87258
330,304,87562
329,292,87854
328,292,88146
327,291,88437
326,292,88729
325,292,89021
324,292,89313
323,292,89605
322,291,89896
321,292,90188
320,292,90480
319,252,90732
318,252,90984
317,253,91237
316,252,91489
315,252,91741
314,252,91993
313,252,92245
312,253,92498
311,252,92750
310,252,93002
309,225,93227
308,225,93452
307,224,93676
306,225,93901
305,225,94126
304,225,94351
303,225,94576
302,224,94800
301,225,95025
300,225,95250
299,211,95461
298,211,95672
297,212,95884
296,211,96095
295,211,96306
294,211,96517
293,211,96728
292,212,96940
291,211,97151
290,211,97362
289,180,97542
288,179,97721
287,180,97901
286,179,98080
285,180,98260
284,180,98440
283,179,98619
282,180,98799
281,179,98978
280,180,99158
279,161,99319
278,162,99481
277,161,99642
276,161,99803
275,161,99964
274,162,100126
273,161,100287
272,161,100448
271,162,100610
270,161,100771
269,141,100912
268,142,101054
267,141,101195
266,142,101337
265,141,101478
264,141,101619
263,142,101761
262,141,101902
261,142,102044
260,141,102185
259,122,102307
258,122,102429
257,122,102551
256,122,102673
255,123,102796
254,122,102918
253,122,103040
252,122,103162
251,122,103284
250,122,103406
249,99,103505
248,99,103604
247,99,103703
246,99,103802
245,99,103901
244,99,104000
243,99,104099
242,99,104198
241,99,104297
240,99,104396
239,93,104489
238,93,104582
237,94,104676
236,93,104769
235,93,104862
234,93,104955
233,93,105048
232,94,105142
231,93,105235
230,93,105328
229,75,105403
228,76,105479
227,75,105554
226,75,105629
225,75,105704
224,76,105780
223,75,105855
222,75,105930
221,76,106006
220,75,106081
219,57,106138
218,56,106194
217,56,106250
216,57,106307
215,57,106364
214,56,106420
213,56,106476
212,57,106533
211,57,106590
210,56,106646
209,47,106693
208,47,106740
207,47,106787
206,47,106834
205,47,106881
204,47,106928
203,47,106975
202,47,107022
201,47,107069
200,47,107116
